MM Index|Meaning|Type|Explanation|Rules|Example|Opposite|Synonym|
4218|ser el sacerdote principal (de un templo budista)|VsuruI||||||
4219|ser llenado con, ser lleno de, ser permeado|VsuruI||||||
4220|estar lleno, ser completo, ser perfecto, ser sustancial|VsuruI||||||
4221|ser mejorado, ser enriquecido, ser actualizado|VsuruI||||||
4222|ser repuesto|VsuruI||||||
4223|estar comprometido en (trabajo), perseguir (p.ej. estudios), seguir (una profesión), involucrarse en|VsuruT||||||
4224|hacer el servicio militar, servir en una guerra, participar en una campaña|VsuruI||||||
4225|cargar (eléctricamente), recargar|VsuruT||||||
4226|electrificar|VsuruT||||||
4227|correr (norte-sur), cortar, viajar|VsuruT||||||
4228|cortar verticalmente, seccionar longitudinalmente|VsuruT||||||
4229|ser dividido en diez|VsuruI||||||
4230|ser confiado, cargo de|VsuruI||||||
4231|recibir (decorar, ordenar)|VsuruT||||||
4232|tener un examen médico, ver a un médico|VsuruI||||||
4233|recibir (p.ej. señal de radio, mensaje de correo electrónico)|VsuruT||||||
4234|fertilizar, impregnar, polinizar|VsuruT||||||
4235|recibir (una carta), reconocer, aceptar|VsuruT||||||
4236|establecer, fundar, establecer (grabar)|VsuruT||||||
4237|aceptar (esp. un documento)|VsuruT||||||
4238|hacer florituras retóricas|VsuruI||||||
4239|gira (inspección)|VsuruT||||||
4240|crucero|VsuruI||||||
4241|circular (incl. sangre)|VsuruI||||||
4242|pasear, patrullar, recorrer|VsuruI||||||
4243|recorrer|VsuruT||||||
4244|sufrir, agonizar|VsuruI||||||
4245|recibir pagos (pensión, racionar)|VsuruI||||||
4246|ser hábil, ser diestro, dominar|VsuruI||||||
4247|estar familiarizado con, tener un conocimiento profundo de, estar bien informado acerca de|VsuruI||||||
4248|tomar conferencias|VsuruI||||||
4249|tomar un examen (esp. de entrada a la escuela y la universidad)|VsuruI||||||
4250|castigar|VsuruT||||||
4251|ser dado y recibido, ser transferido|VsuruI||||||
4252|enseñar, instruir, dar una lección|VsuruI||||||
4253|ser aceptado|VsuruI||||||
4254|recibir (pedidos), aceptar (pedidos)|VsuruT||||||
4255|despedirse|VsuruI||||||
4256|ser despedido temporalmente|VsuruI||||||
4257|volver a tokio|VsuruI||||||
4258|volver a la capital|VsuruI||||||
4259|rechazar, abandonar, renunciar|VsuruT||||||
4260|ponerse a trabajar|VsuruI||||||
4261|parar en un puerto|VsuruI||||||
4262|escribir lo que uno escucha, tener en cuenta lo que se escucha|VsuruI||||||
4263|ser repatriado, ser devuelto|VsuruI||||||
4264|retroalimentarse (eléctricamente)|VsuruI||||||
4265|naturalizar|VsuruT||||||
4266|estar limitado, ser reservado, sentirse vacilante, tener miedo de molestar a alguien|VsuruI||||||
4267|rezar, suplicar|VsuruI||||||
4268|encender, detonar, disparar, explotar|VsuruI||||||
4269|formar (una fiesta)|VsuruT||||||
4270|estar ausente, no tomar parte|VsuruI||||||
4271|faltar, querer, estar corto de|VsuruT||||||
4272|separar|VsuruI||||||
4273|unir|VsuruT||||||
4274|atar|VsuruT||||||
4275|ponerse (ropa, armadura, etc.)|VsuruT;ar||||||
4276|concentrarse (esfuerzos, fuerzas, etc.), reunirnos, regimentar, organizar, movilizar|VsuruT||||||
4277|cristalizar, producir resultados|VsuruI||||||
4278|hacer una batalla decisiva, hacer un partido decisivo|VsuruI||||||
4279|sancionar, aprobar|VsuruT||||||
4280|liquidar, pagar|VsuruT||||||
4281|ser real (en lugar de oculto o latente), ser aparente, ser obvio, ser tangible, ser revelado|VsuruI||||||
4282|luchar valientemente, hacer esfuerzos arduos|VsuruI||||||
4283|certificar oficialmente, aprobar oficialmente, inspeccionar, verificar|VsuruT||||||
4284|ser modesto, ser humilde, hablar con humildad|VsuruI||||||
4285|detectar|VsuruT||||||
4286|honrar (públicamente), dar a conocer las buenas obras o logros de alguien|VsuruT||||||
4287|inspeccionar|VsuruT||||||
4288|examinar (física o médicamente), examinar (salud)|VsuruT;Abr||||||
4289|autopsia, investigación, investigar una muerte|VsuruT||||||
4290|examinar, investigar, procesar|VsuruT||||||
4291|inspeccionar, examinar, verificar|VsuruT||||||
4292|arrestar, redondear|VsuruT||||||
4293|fundar, establecer (nación)|VsuruT||||||
4294|donar, contribuir|VsuruT||||||
4295|donar sangre|VsuruI||||||
4296|presentar|VsuruT||||||
4297|insistir, persistir|VsuruI||||||
4298|mover, proponer, sugerir, ofrecer|VsuruT||||||
4299|preocuparse, tener miedo, estar ansioso|VsuruI||||||
4300|experimentar, observar, ver|VsuruT||||||
4301|ser ahorrativo, ser económico, ser frugal|VsuruI||||||
4302|censurar, inspeccionar, examinar|VsuruT||||||
4303|poner en cuarentena|VsuruT||||||
4304|levantarse a la acción, pararse en contra, saltar a los pies|VsuruI||||||
4305|levantar (p.ej. una bandera), levantar, volar|VsuruT||||||
4306|aliviar el lanzador (de inicio)|VsuruI||||||
4307|inclinar|VsuruI||||||
4308|publicar, exhibir, pegar|VsuruT||||||
4309|custodiar|VsuruT||||||
4310|pretender respetar mientras, en realidad, permanecer distante, mantenernos a la distancia de los brazos, dar un amplio rodeo|VsuruT||||||
4311|evitar (algo desagradable), alejarse de|VsuruT||||||
4312|manejar, correr|VsuruT||||||
4313|dedicarse, concentrarse|VsuruI||||||
4314|complicar, molestar|VsuruT||||||
4315|utilizar (gramática)|VsuruT||||||
4316|flexionar, conjugar|VsuruT;ZL||||||
4317|dar apoyo, participar, dar ayuda, ser cómplice|VsuruI||||||
4318|deslizarse, patinar (sobre hielo)|VsuruI||||||
4319|rodar (avión), hacer un despegue|VsuruI||||||
4320|incinerar|VsuruT||||||
4321|imaginar, considerar posibilidades|VsuruI||||||
4322|acelerar|VsuruI||||||
4323|dar un nombre temporal|VsuruT||||||
4324|prestar|VsuruT||||||
4325|hacer algo temporalmente (esp. construir instalaciones temporales), hacer algo provisionalmente|VsuruI||||||
4326|cambiar, transformar|VsuruI||||||
4327|añadir, complementar|VsuruT||||||
4328|aliviar, mitigar, relajar, ablandar, disminuir (en cantidad)|VsuruT||||||
4329|luchar valientemente|VsuruI||||||
4330|hacer toda la distancia, lanzar un juego entero|VsuruI||||||
4331|juzgar|VsuruT||||||
4332|terminar (una carrera), correr toda la distancia, alcanzar la meta, mantener el rumbo|VsuruI||||||
4333|secar, deshidratar, desecar|VsuruT||||||
4334|supervisar (editorial), editar|VsuruT||||||
4335|acostumbrarse a|VsuruT||||||
4336|admirar, apreciar, disfrutar, ver (por placer)|VsuruT||||||
4337|alentar, estimular|VsuruT||||||
4338|vigilar, observar, supervisar|VsuruT||||||
4339|inspeccionar|VsuruT||||||
4340|convertir (p.ej. yen a dólares), cambiar, intercambiar, traducir (numérico)|VsuruT||||||
4341|inspeccionar, auditar, juzgar|VsuruT||||||
4342|supervisar, administrar|VsuruT||||||
4343|caer, hundirse, rendirse, capitular|VsuruI||||||
4344|bloquear completamente (sellar), cerrar (béisbol)|VsuruT||||||
4345|derrotar completamente, batir hueco|VsuruT||||||
4346|brindar, beber (en celebración o en honor a algo)|VsuruI||||||
4347|beber un vaso seco|VsuruI||||||
4348|renunciar a prepararse para aceptar|VsuruT||||||
4349|observar y contemplar, meditar|VsuruT;ZB||||||
4350|convocar|VsuruT||||||
4351|hacer turismo|VsuruI||||||
4352|actuar con decisión, seguir adelante, atreverse a hacer, llevar a cabo|VsuruI||||||
4353|completar|VsuruT||||||
4354|aconsejar, remontrar, recomendar|VsuruT||||||
4355|confinar|VsuruT||||||
4356|realizar (bienes en dinero), convertir (en dinero), liquidar|VsuruT||||||
4357|estar encantado, estar alegre|VsuruI||||||
4358|ser ventilado|VsuruI||||||
4359|despertar, excitar|VsuruT||||||
4360|concluirse, completarse|VsuruI||||||
4361|sentir|VsuruT||||||
4362|pasar por alto|VsuruT||||||
4363|influir, inspirar, reformar, corregir|VsuruT||||||
4364|cuidar, atender|VsuruT||||||
4365|moverse de un lugar a otro, ser repetido|VsuruI||||||
4366|rodar alrededor|VsuruI||||||
4367|templar (metal), recocer, forjar|VsuruT||||||
4368|endurecer, disciplinar, entrenar|VsuruT||||||
4369|ir a la escuela en grupos|VsuruI||||||
4370|tomar un momento para tomar un minuto|VsuruI||||||
4371|ir al sur|VsuruI||||||
4372|dramatizar (p.ej. una novela), dramatizar, embellecer, exagerar, bordar|VsuruT||||||
4373|tomar (algo) en serio|VsuruT||||||
4374|mirar|VsuruI||||||
4375|ser un rival para, rivalizar, igualar, comparar con, ser equivalente a|VsuruI||||||
4376|golpear repetidamente|VsuruT||||||
4377|utilizar continuamente|VsuruT||||||
4378|deteriorar, degradar, disminuir en calidad|VsuruT||||||
4379|almacenar en frio, refrigerar|VsuruT||||||
4380|refrigerar, enfriar|VsuruT||||||
4381|bajar de temperatura|VsuruI||||||
4382|ofertar con éxito, ganar una licitación|VsuruT||||||
4383|venir a (restaurante, bar, tienda, etc.)|VsuruI||||||
4384|llegar a Japón, venir a Japón, visitar Japón|VsuruI||||||
4385|visitar, llamar|VsuruI||||||
4386|ser desobediente a los padres|VsuruI||||||
4387|responder|VsuruI||||||
4388|ser atendido (personas, clientes, quejas, etc.), ser recibido (personas que llaman, para ser visitantes, etc.), ser atendido|VsuruI||||||
4389|apoderarse, confiscar|VsuruT||||||
4390|replicar, intercambiar, corresponder|VsuruI||||||
4391|responder, volver, reposte|VsuruI||||||
4392|recibir (p.ej. visitantes), tratar con|VsuruT||||||
4393|hacer una oferta, presentar una oferta|VsuruI||||||
4394|ir y venir|VsuruI||||||
4395|asociarse, socializar|VsuruI||||||
4396|repetir (p.ej. pensamientos)|VsuruI||||||
4397|corresponder|VsuruI||||||
4398|golpear|VsuruT||||||
4399|aplicar, suscribirse, participar (competición, rifa, etc.), inscribirse|VsuruI||||||
4400|ayudar|VsuruI||||||
4401|discutir de un lado a otro, las palabras bandy|VsuruI||||||
4402|vestir, estar a la moda|VsuruI||||||
4403|charlar, hablar, chismear|VsuruI||||||
4404|contaminar|VsuruT||||||
4405|estar en gran alegría|VsuruI||||||
4406|estar en clamor, estar en alboroto, ser tumultuoso, estar furioso|VsuruI||||||
4407|atesorar y preservar|VsuruT||||||
4408|exigir un favor, pagar (obligación, amabilidad, etc.)|VsuruT||||||
4409|usar la lectura "on" de una palabra|VsuruI||||||
4410|adivinar, especular, suponer|VsuruT||||||
4411|devolver un regalo, devolver un favor|VsuruI||||||
4412|obtener venganza|VsuruI||||||
4413|obtener el cambio (en una transacción en efectivo)|VsuruI||||||
4414|inclinarse|VsuruI;LHn||||||
4415|bañarse|VsuruI||||||
4416|unirse a un partido político|VsuruI||||||
4417|ganar un premio o lugar (en un concurso)|VsuruI||||||
4418|asentarse|VsuruI||||||
4419|ser admitido (p.ej. a un instituto de formación, a un establecimiento de investigación, a una institución de bienestar social, etc.), ingresar|VsuruI||||||
4420|ser encarcelado, ser internado, ser confinado|VsuruI||||||
4421|entrar en una habitación|VsuruI||||||
4422|estudiar bajo un maestro budista|VsuruI;ZB||||||
4423|ser elegido (en una competición)|VsuruI||||||
4424|entrar en el registro familiar|VsuruI||||||
4425|ofertar|VsuruI||||||
4426|entrar en una institución, comenzar a entrenar|VsuruI||||||
4427|avanzar al primer grado|VsuruI||||||
4428|mudarse a (casa)|VsuruI||||||
4429|entrar al puerto llegar al puerto|VsuruI||||||
4430|entrar a un país|VsuruI||||||
4431|hacer un depósito, hacer un pago|VsuruI||||||
4432|unirse al gabinete|VsuruI||||||
4433|llegar (bienes), recibir bienes|VsuruI||||||
4434|inscribirse en jardín de infantes|VsuruI||||||
4435|entrar (un parque, jardín, zoológico, etc.)|VsuruI||||||
4436|comenzar (temporada de lluvias)|VsuruI||||||
4437|pagar impuestos|VsuruI||||||
4438|ser concentrado (p.ej. de una solución), ser enriquecido, condensar|VsuruI||||||
4439|pagar (impuestos, aranceles, etc.)|VsuruT||||||
4440|entregar|VsuruT||||||
4441|pagar|VsuruI||||||
4442|pagar, suministrar|VsuruT||||||
4443|estar cómodo, estar tranquilo|VsuruI||||||
4444|crecer rapidamente|VsuruI||||||
4445|soportar, perseverar, ser paciente|VsuruI||||||
4446|certificar, reconocer|VsuruT||||||
4447|estar embarazada|VsuruI||||||
4448|aprobar, permitir, despejar|VsuruT||||||
4449|reconocer|VsuruT||||||
4450|tomar el sol|VsuruI||||||
4451|sonreir forzadamente, hacer una risa tensa|VsuruI||||||
4452|empacar, embalar|VsuruI||||||
4453|dividir en dos|VsuruT||||||
4454|quedarse en, alojarse en|VsuruI||||||
4455|esguince|VsuruT||||||
4456|quemar|VsuruI||||||
4457|desear, esperar|VsuruT||||||
4458|cohesionar, adherir|VsuruI||||||
4459|ser tremendamente entusiastas, estar locos por|VsuruI||||||
4460|ser entusiastas, ser locos, ser absorbidos, ser dedicados a|VsuruI||||||
4461|estar indispuesto (p.ej. un resfriado)|VsuruI||||||
4462|ser pegajoso, pegajoso, viscoso, grasiento|VsuruI||||||
4463|llamar por nombre, designar, nominar|VsuruT||||||
4464|dar el nombre (o rango, etc.), presentarse uno mismo|VsuruI||||||
4465|dar las lecturas de nombre de un kanji|VsuruI||||||
4466|tener un vuelo duro, tener un pasaje rudo|VsuruI||||||
4467|tener problemas, tener un tiempo difícil|VsuruI||||||
4468|poner bajo arresto domiciliario|VsuruT||||||
4469|transmitir en vivo (radio, para ser TV), cubrir en vivo|VsuruT||||||
4470|llorar (esp. animal), rugir, gorjear, twittear, ladrar, gemir, maullar|VsuruI||||||
4471|llorar|VsuruI||||||
4472|ser incorporado, ser equipado (con)|VsuruI||||||
4473|realizar diseño de interiores|VsuruI||||||
4474|hacer un trabajo secundario (en casa)|VsuruI||||||
4475|informar de manera no oficial o confidencial|VsuruT||||||
4476|ser introvertido|VsuruI||||||
4477|anunciar no oficialmente|VsuruT||||||
4478|connotar comprender|VsuruT||||||
4479|incluir, contener|VsuruT||||||
4480|durar mucho tiempo, continuar, mantener (algo)|VsuruI||||||
4481|hablar mucho tiempo|VsuruI||||||
4482|molestar a alguien (por dinero en efectivo, etc.)|VsuruT||||||
4483|atacar ferozmente|VsuruT||||||
4484|ser hospitalario, recibir, servir|VsuruT||||||
4485|entretener con comida y bebida, tratar|VsuruT||||||
4486|diluir|VsuruT||||||
4487|inflar (presupuesto, reclamar, etc.)|VsuruT||||||
4488|aterrizar, descargar (p.ej. un barco)|VsuruT||||||
4489|desflorar (p.ej. geisha)|VsuruT||||||
4490|ser conservado (flores cortadas, en ikebana)|VsuruI||||||
4491|atraer, fascinar, cautivar, encantar|VsuruT||||||
4492|contrabandear|VsuruT||||||
4493|hacer un acuerdo secreto|VsuruI||||||
4494|escalfar|VsuruT||||||
4495|contrabandearse a uno mismo a un país, emigrar ilegalmente|VsuruI||||||
4496|contrabandear, comerciar ilícitamente|VsuruT||||||
4497|amontonarse, agruparse, enjambrar|VsuruI||||||
4498|encantar, fascinar, hipnotizar|VsuruI||||||
4499|revisar, reconsiderar|VsuruT||||||
4500|tirarse (p.ej. al agua para suicidarse)|VsuruI||||||
4501|privatizar|VsuruT||||||
4502|contrabandear|VsuruT||||||
4503|iniciar un tren (o autobús, etc.) antes de que todos los pasajeros estén a bordo|VsuruI||||||
4504|tomar una decisión rápida, iniciar una acción sin considerar las objeciones por más tiempo|VsuruI||||||
4505|aparecer y desaparecer|VsuruI||||||
4506|pegarnos estrechamente, adherirnos, aferrarnos, mantener relaciones estrechas, estar en contacto cercano|VsuruI||||||
4507|dar cobertura total a las figuras claves de un documental de TV o cine|VsuruI||||||
4508|contactar a imprimir|VsuruI||||||
4509|arruinar, colapsar, ser destruido|VsuruI||||||
4510|despedir|VsuruI||||||
4511|estar exento de responsabilidad|VsuruI||||||
4512|perderse, perder el camino|VsuruI||||||
4513|escribir con claridad, especificar|VsuruT||||||
4514|aclarar, enunciar explícitamente, especificar|VsuruT||||||
4515|declarar claramente|VsuruT||||||
4516|estipular, enunciar claramente, documentar por escrito, enunciar explícitamente|VsuruT||||||
4517|perder peso o volumen (p.ej. en tránsito)|VsuruI||||||
4518|disminuir (en valor), reducir|VsuruI||||||
4519|frotar|VsuruI||||||
4520|expirar|VsuruI||||||
4521|enterrar, esconder enterrando|VsuruI||||||
4522|tener depósitos subterráneos|VsuruI||||||
4523|enterrar|VsuruT||||||
4524|estar paralizado, estar adormecido|VsuruI||||||
4525|alquilar una habitación|VsuruI||||||
4526|obtener un anticipo (a su salario)|VsuruI||||||
4527|avanzar (p.ej. planes), acelerar (p.ej. el programa de pagos)|VsuruI||||||
4528|avisar con antelación de|VsuruT||||||
4529|anunciar, proclamar|VsuruT||||||
4530|acechar una emboscada|VsuruI||||||
4531|reunirse|VsuruI||||||
4532|repostar (coche, avión, etc.)|VsuruT||||||
4533|lubricar (maquina), al aceite|VsuruT||||||
4534|descansar, romper, recrear, recuperar, convalecer|VsuruI||||||
4535|permitir, otorgar, proveer, proveer con|VsuruT||||||
4536|suministrar agua|VsuruI||||||
4537|rescatar|VsuruT||||||
4538|progresar rapidamente|VsuruI||||||
4539|subir repentinamente (esp. precios de acciones)|VsuruI||||||
4540|hacer una pausa, parar, descansar|VsuruI||||||
4541|tener un alto el fuego, hacer tregua|VsuruI||||||
4542|aliviar, ayudar, rescatar, ahorrar|VsuruT||||||
4543|investigar (esp. en contextos académicos y científicos), determinar|VsuruT||||||
4544|cancelar (sermonear, a clase, etc.)|VsuruT||||||
4545|cerrar temporalmente (escuela)|VsuruT||||||
4546|recomendar una oración (castigo)|VsuruI||||||
4547|estar cerrado (biblioteca, museo, etc.)|VsuruI||||||
4548|suspender (una publicación)|VsuruT||||||
4549|cerrar un teatro, estar ausente del escenario|VsuruI||||||
4550|estar ausente de un torneo|VsuruI;ZSm||||||
4551|reclutar, ofrecer un trabajo|VsuruI||||||
4552|ser cerrado (p.ej. tienda), ser suspendido (negocio), ser cerrado, estar de vacaciones|VsuruI||||||
4553|estar temporalmente ausente de la escuela|VsuruI||||||
4554|pagar, proveer, beneficiar, entregar|VsuruT||||||
4555|hacer una presentación|VsuruI||||||
4556|rescatar|VsuruT||||||
4557|rechazar|VsuruT||||||
4558|coexistir|VsuruI||||||
4559|cultivar, refinar, educar, edificar|VsuruT||||||
4560|obligar, coaccionar, exigir|VsuruT||||||
4561|extender|VsuruT||||||
4562|estar en concordia, estar en armonía, estar en concierto|VsuruI||||||
4563|luchar conjuntamente|VsuruI||||||
4564|hacer un arreglo, hacer un pacto, hacer un acuerdo|VsuruI||||||
4565|entrenar, instruir|VsuruT||||||
4566|sentirse obligado, estar agradecido, sentir pena, estar avergonzado|VsuruI||||||
4567|retroceder ante el miedo|VsuruI;ar||||||
4568|convivir|VsuruI||||||
4569|estar en simbiosis|VsuruI;ZBi||||||
4570|aprobar, autorizar, apoyar|VsuruT||||||
4571|patrocinar conjuntamente (de un evento), copatrocinador, organizar juntos|VsuruT||||||
4572|estar furioso, estar frenético, estar loco|VsuruI||||||
4573|enseñar una lección o moraleja a|VsuruT||||||
4574|asustarse, consternarse|VsuruI||||||
4575|ser forzado|VsuruI||||||
4576|intimidar, amenazar, chantajear|VsuruT||||||
4577|hacer una declaración jurada sobre, hacer una deposición sobre, testificar sobre|VsuruT||||||
4578|amenazar|VsuruT||||||
4579|amenazar, coaccionar, aterrorizar|VsuruT||||||
